yo (tú,él,me,te,nos,ella,usted,ellos,ellas,ustedes,nosotros,nosotras)	I, me	Yo soy una mujer.	I am a woman.
niño (niña)	boy, child	El niño, la niña.	The boy, the girl.
otra vez	again	Quiero beber un café contigo otra vez.	I want to drink a coffee with you again.
interesante (interesantes)	interesting	México es interesante.	Mexico is interesting.
estos (este,esta,estas)	these, this	Sonia, estos vestidos son muy grandes.	Sonia, these dresses are very big.
clases (clase)	classes, class, kind	Yo tengo seis clases en la universidad.	I have six classes in the university.
importante (importantes)	important	Julia es una médica importante.	Julia is an important doctor.
el (la,los,las)	the, her, his	Más sabe el diablo por viejo que por diablo.	More knows the devil for being old than for being the devil.
muy	very, too, really	Sí, el niño está muy feliz.	Yes, the boy is very happy.
bonito (bonita,bonitos,bonitas)	beautiful, pretty, nice	Quiero vivir en un pueblo bonito.	I want to live in a pretty town.
